"ISIN","AMC code","Scheme Name","AMC Name","AMC Image"
"INF109K01T61","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - QUARTERLY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109K01T46","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - MONTHLY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109K01T20","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - HALF YEARLY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109K01T04","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH","ICICI Prudential Mutual Fund",""
"INF109KA1H69","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - DIRECT PLAN - BONUS","ICICI Prudential Mutual Fund",""
"INF109K01T53","P","ICICI Prudential Ultra Short Term Fund - Direct Plan -  Quarterly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01T38","P","ICICI Prudential Ultra Short Term Fund - Direct Plan -  Monthly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01T12","P","ICICI Prudential Ultra Short Term Fund - Direct Plan -  Half Yearly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01647","P","ICICI PRUDENTIAL SHORT TERM FUND - MONTHLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01WL0","P","ICICI Prudential Short Term Fund - Monthly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01688","P","ICICI PRUDENTIAL SHORT TERM FUND - INSTITUTIONAL FORTNIGHTLY IDCW REINVESTMENT","ICICI Prudential Mutual Fund",""
"INF109K01696","P","ICICI PRUDENTIAL SHORT TERM FUND - INSTITUTIONAL CUMULATIVE OPTION","ICICI Prudential Mutual Fund",""
"INF109KA1X02","P","ICICI PRUDENTIAL SHORT TERM FUND - HALF YEARLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109KA1X10","P","ICICI Prudential Short Term Fund - Half Yearly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01654","P","ICICI PRUDENTIAL SHORT TERM FUND - GROWTH OPTION","ICICI Prudential Mutual Fund",""
"INF109K01662","P","ICICI PRUDENTIAL SHORT TERM FUND - FORTNIGHTLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K015N8","P","ICICI PRUDENTIAL SHORT TERM FUND - DIRECT PLAN - MONTHLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K014N1","P","ICICI Prudential Short Term Fund - Direct Plan - Monthly IDCW","ICICI Prudential Mutual Fund",""
"INF109KA1X28","P","ICICI PRUDENTIAL SHORT TERM FUND - DIRECT PLAN - HALF YEARLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109KA1X36","P","ICICI Prudential Short Term Fund - Direct Plan - Half Yearly IDCW","ICICI Prudential Mutual Fund",""
"INF109K013N3","P","ICICI PRUDENTIAL SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION","ICICI Prudential Mutual Fund",""
