name
"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"HIMACHAL PRADESH STATE COOPERATIVE BANK LTD",1
"HSBC BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"HSBC BANK",1
"WOORI BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"WOORI BANK",1
"PT BANK MAYBANK INDONESIA TBK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"PT BANK MAYBANK INDONESIA TBK",1
"IDBI BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"IDBI BANK",1
"INDUSTRIAL BANK OF KOREA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDUSTRIAL BANK OF KOREA",1
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED",1
"ICICI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"ICICI BANK LIMITED",1
"IDFC First Bank Ltd","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"IDFC First Bank Ltd",1
"INDIAN BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDIAN BANK",1
"IDUKKI DISTRICT CO OPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"IDUKKI DISTRICT CO OPERATIVE BANK LTD",1
"INDUSIND BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDUSIND BANK",1
"INDIAN OVERSEAS BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDIAN OVERSEAS BANK",1
"INDIA POST PAYMENT BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"INDIA POST PAYMENT BANK",1
